id;timestamp;cpu;ram;disco;usoRede;latencia;qtd_processos
C0D004;2025-10-01 12:23:41;20.3;80.3;86.22;0.0;0.007;258
C0D004;2025-10-01 12:23:51;9.6;80.3;88.83;0.28;0.06;258
C0D004;2025-10-01 12:24:01;7.9;80.4;81.29;0.09;0.008;258
C0D004;2025-10-01 12:24:11;3.0;80.0;88.55;0.03;0.008;258
C0D004;2025-10-01 12:24:21;2.7;80.1;87.17;0.14;0.071;258
C0D004;2025-10-01 12:24:31;2.9;80.1;83.36;0.03;0.066;258
C0D004;2025-10-01 12:24:41;3.3;80.2;82.63;0.02;0.014;258
C0D004;2025-10-01 12:24:51;3.8;80.0;80.48;0.07;0.021;258
C0D004;2025-10-01 12:25:01;4.4;80.1;92.83;0.06;0.03;258
C0D004;2025-10-01 12:25:11;3.5;80.2;88.65;0.03;0.015;258
C0D004;2025-10-01 12:25:21;3.3;80.3;82.81;0.11;0.013;258
C0D004;2025-10-01 12:25:31;2.7;80.3;89.66;0.09;0.008;258
C0D004;2025-10-01 12:25:41;3.3;80.3;93.03;0.03;0.008;258
C0D004;2025-10-01 12:25:51;3.1;80.3;76.92;0.17;0.021;258
C0D004;2025-10-01 12:26:01;3.6;80.3;78.62;0.15;0.023;258
C0D004;2025-10-01 12:26:11;3.3;80.3;86.69;0.02;0.01;258
C0D004;2025-10-01 12:26:21;3.7;80.4;85.5;0.3;0.01;258
C0D004;2025-10-01 12:26:31;2.9;80.4;83.78;0.02;0.025;258
C0D004;2025-10-01 12:26:41;5.1;81.8;79.78;0.04;0.046;260
C0D004;2025-10-01 12:26:51;4.0;81.7;94.46;0.02;0.015;260
C0D004;2025-10-01 12:27:01;3.4;81.0;93.04;0.03;0.012;260
C0D004;2025-10-01 12:27:11;2.6;80.9;86.43;0.05;0.016;260
C0D004;2025-10-01 12:27:21;2.9;81.0;82.62;0.06;0.011;260
C0D004;2025-10-01 12:27:31;2.8;81.0;80.0;0.02;0.009;260
C0D004;2025-10-01 12:27:41;3.5;81.1;82.88;0.03;0.005;260
C0D004;2025-10-01 12:27:52;4.1;81.6;87.37;0.11;0.007;260
C0D004;2025-10-01 12:28:02;5.4;81.8;83.84;0.22;0.016;262
C0D004;2025-10-01 12:28:12;3.4;81.8;78.64;0.06;0.009;262
C0D004;2025-10-01 12:28:22;3.5;81.9;81.36;0.03;0.008;262
C0D004;2025-10-01 12:28:32;3.0;81.8;75.0;0.03;0.009;262
C0D004;2025-10-01 12:28:42;3.1;81.8;87.79;0.03;0.006;262
C0D004;2025-10-01 12:28:52;2.5;81.8;89.21;0.02;0.009;262
C0D004;2025-10-01 12:29:02;3.2;81.6;86.2;0.03;0.021;260
C0D004;2025-10-01 12:29:12;3.3;81.5;93.2;0.07;0.009;260
C0D004;2025-10-01 12:29:22;3.3;81.7;80.22;0.13;0.017;260
C0D004;2025-10-01 12:29:32;3.0;81.6;80.03;0.09;0.012;260
C0D004;2025-10-01 12:29:42;3.0;81.6;78.97;0.02;0.007;260
C0D004;2025-10-01 12:29:52;3.5;81.5;82.74;0.02;0.009;260
C0D004;2025-10-01 12:30:02;3.3;81.8;90.15;0.04;0.012;260
C0D004;2025-10-01 12:30:12;2.9;81.8;90.13;0.06;0.006;260
C0D004;2025-10-01 12:30:22;3.7;81.7;84.87;0.02;0.009;260
C0D004;2025-10-01 12:30:32;3.9;81.7;81.61;0.09;0.044;260
C0D004;2025-10-01 12:30:42;2.7;81.6;87.01;0.02;0.01;260
C0D004;2025-10-01 12:30:52;2.6;81.7;88.41;0.03;0.016;260
C0D004;2025-10-01 12:31:02;3.8;81.7;75.67;0.13;0.031;260
C0D004;2025-10-01 12:31:12;2.8;81.8;86.61;0.08;0.011;260
C0D004;2025-10-01 12:31:22;3.1;81.8;86.23;0.02;0.017;260
C0D004;2025-10-01 12:31:32;3.6;81.7;77.98;0.09;0.009;260
C0D004;2025-10-01 12:31:42;3.1;81.7;84.12;0.03;0.011;260
C0D004;2025-10-01 12:31:52;3.4;81.5;80.07;0.03;0.015;258
C0D004;2025-10-01 12:32:02;2.9;81.6;91.83;0.02;0.011;258
C0D004;2025-10-01 12:32:12;4.2;82.0;77.78;0.27;0.006;261
C0D004;2025-10-01 12:32:22;4.3;81.0;80.91;0.13;0.008;259
C0D004;2025-10-01 12:32:32;3.3;81.0;75.0;0.02;0.02;259
C0D004;2025-10-01 12:32:42;3.2;80.9;88.06;0.02;0.022;259
C0D004;2025-10-01 12:32:52;3.2;80.9;79.23;0.02;0.019;259
C0D004;2025-10-01 12:33:02;2.9;81.0;87.5;0.03;0.015;259
C0D004;2025-10-01 12:33:12;3.5;81.0;85.05;0.17;0.024;259
C0D004;2025-10-01 12:33:22;2.9;81.0;85.04;0.02;0.012;259
C0D004;2025-10-01 12:33:32;2.9;81.0;78.94;0.02;0.009;259
