id;timestamp;cpu;ram;disco;usoRede;latencia;qtd_processos
C0D000;2025-10-01 12:21:27;3.0;80.7;81.34;0.02;0.008;260
C0D000;2025-10-01 12:21:37;3.2;80.3;92.51;0.03;0.009;260
C0D000;2025-10-01 12:21:47;2.9;80.2;83.29;0.1;0.009;260
C0D000;2025-10-01 12:21:57;3.2;80.3;88.47;0.24;0.01;260
C0D000;2025-10-01 12:22:07;4.0;80.3;90.52;0.03;0.014;260
C0D000;2025-10-01 12:22:17;4.6;79.1;86.65;0.12;0.012;259
C0D000;2025-10-01 12:22:27;3.2;79.1;75.0;0.05;0.009;259
C0D000;2025-10-01 12:22:37;3.0;79.1;84.31;0.06;0.017;259
C0D000;2025-10-01 12:22:47;3.5;79.0;87.72;0.07;0.01;258
C0D000;2025-10-01 12:22:57;3.0;79.2;89.72;0.06;0.061;258
C0D000;2025-10-01 12:23:07;3.5;79.2;80.68;0.06;0.012;258
C0D000;2025-10-01 12:23:17;9.0;79.9;79.4;0.26;0.01;258
C0D000;2025-10-01 12:23:27;6.1;80.3;86.5;0.08;0.008;258
C0D000;2025-10-01 12:23:37;8.6;80.0;86.18;0.06;0.007;258
