id;timestamp;cpu;ram;disco;usoRede;latencia;qtd_processos
C0D000;2025-10-01 12:04:43;21.5;89.9;75.0;0.0;0.035;266
C0D000;2025-10-01 12:04:53;7.6;89.9;75.0;0.15;0.032;266
C0D000;2025-10-01 12:05:03;4.3;89.7;81.6;0.04;0.015;266
C0D000;2025-10-01 12:05:13;4.0;89.8;82.8;0.12;0.038;266
C0D000;2025-10-01 12:05:23;5.2;87.4;84.54;0.31;0.005;266
C0D000;2025-10-01 12:05:33;3.6;87.4;81.46;0.14;0.014;266
C0D000;2025-10-01 12:05:43;3.1;87.4;76.43;0.05;0.043;266
C0D000;2025-10-01 12:05:53;3.3;87.4;85.31;0.03;0.027;266
C0D000;2025-10-01 12:06:03;3.9;87.3;83.48;0.03;0.027;265
C0D000;2025-10-01 12:06:13;2.9;84.3;85.48;0.09;0.025;265
C0D000;2025-10-01 12:06:23;3.3;84.3;82.85;0.08;0.034;265
C0D000;2025-10-01 12:06:33;3.4;84.3;79.93;0.05;0.027;265
C0D000;2025-10-01 12:06:43;3.7;84.3;89.68;0.02;0.008;265
C0D000;2025-10-01 12:06:53;3.1;84.3;79.58;0.02;0.005;265
C0D000;2025-10-01 12:07:03;3.4;84.4;95.0;0.04;0.02;265
C0D000;2025-10-01 12:07:14;5.3;81.3;83.43;0.07;0.01;265
C0D000;2025-10-01 12:07:24;3.3;81.3;78.58;0.06;0.006;261
C0D000;2025-10-01 12:07:34;4.3;81.2;75.82;0.06;0.008;260
C0D000;2025-10-01 12:07:44;3.0;81.3;76.87;0.03;0.006;260
C0D000;2025-10-01 12:07:54;3.4;81.3;84.36;0.07;0.006;260
C0D000;2025-10-01 12:08:04;4.4;81.5;85.24;0.05;0.005;260
C0D000;2025-10-01 12:08:14;3.8;81.5;76.25;0.19;0.007;260
C0D000;2025-10-01 12:08:24;3.4;81.5;88.9;0.08;0.005;260
C0D000;2025-10-01 12:08:34;3.3;81.2;88.98;0.02;0.006;260
C0D000;2025-10-01 12:08:44;3.3;81.2;87.98;0.02;0.005;259
C0D000;2025-10-01 12:08:54;5.2;81.6;87.25;0.04;0.006;262
C0D000;2025-10-01 12:09:04;3.5;81.6;85.66;0.03;0.054;262
C0D000;2025-10-01 12:09:14;3.2;81.5;80.85;0.07;0.006;262
C0D000;2025-10-01 12:09:24;4.0;81.5;82.74;0.04;0.005;261
C0D000;2025-10-01 12:09:34;6.9;81.8;83.17;0.05;0.004;261
C0D000;2025-10-01 12:09:44;6.6;81.7;79.96;0.19;0.005;261
C0D000;2025-10-01 12:09:54;12.1;82.6;94.1;0.53;0.018;261
C0D000;2025-10-01 12:10:04;8.4;82.3;93.66;0.16;0.04;261
C0D000;2025-10-01 12:10:14;5.3;82.5;90.18;0.09;0.012;261
C0D000;2025-10-01 12:10:24;4.3;82.7;84.14;0.08;0.005;261
C0D000;2025-10-01 12:10:34;10.0;82.5;85.25;0.12;0.005;259
C0D000;2025-10-01 12:10:44;8.0;82.3;79.97;0.03;0.005;259
C0D000;2025-10-01 12:10:54;13.4;82.7;75.58;0.28;0.018;259
C0D000;2025-10-01 12:11:04;14.1;82.6;90.62;0.27;0.006;258
C0D000;2025-10-01 12:11:14;14.4;82.7;84.72;0.18;0.003;258
C0D000;2025-10-01 12:11:24;11.6;82.9;77.94;0.29;0.01;258
C0D000;2025-10-01 12:11:34;12.2;83.1;88.18;0.05;0.017;260
C0D000;2025-10-01 12:11:44;11.0;83.0;89.69;0.03;0.005;260
C0D000;2025-10-01 12:11:54;11.8;83.3;84.61;0.1;0.004;260
C0D000;2025-10-01 12:12:04;13.1;83.2;94.08;0.06;0.008;260
C0D000;2025-10-01 12:12:14;11.6;81.8;92.62;0.06;0.007;260
C0D000;2025-10-01 12:12:24;11.6;81.9;80.25;0.03;0.006;260
C0D000;2025-10-01 12:12:34;12.1;82.0;89.99;0.03;0.008;260
C0D000;2025-10-01 12:12:44;18.7;83.3;87.64;0.13;0.009;260
C0D000;2025-10-01 12:12:54;10.4;82.1;84.68;0.35;0.009;260
C0D000;2025-10-01 12:13:04;10.7;82.1;79.57;0.04;0.005;260
C0D000;2025-10-01 12:13:14;12.2;82.1;85.47;0.09;0.009;260
C0D000;2025-10-01 12:13:24;13.1;82.5;77.52;0.07;0.008;261
C0D000;2025-10-01 12:13:34;11.9;83.2;87.66;0.03;0.008;261
C0D000;2025-10-01 12:13:44;9.3;83.4;82.28;0.03;0.007;261
C0D000;2025-10-01 12:13:54;11.5;83.4;90.07;0.02;0.022;261
C0D000;2025-10-01 12:14:04;12.2;83.4;83.96;0.03;0.008;261
C0D000;2025-10-01 12:14:14;11.1;83.4;84.77;0.17;0.006;261
C0D000;2025-10-01 12:14:24;8.5;83.3;90.47;0.03;0.005;261
C0D000;2025-10-01 12:14:35;9.7;83.3;78.75;0.02;0.009;261
C0D000;2025-10-01 12:14:45;24.2;83.5;82.86;0.0;0.007;261
C0D000;2025-10-01 12:14:56;11.0;83.4;94.72;0.05;0.006;260
C0D000;2025-10-01 12:15:06;14.4;84.6;88.59;0.04;0.12;264
C0D000;2025-10-01 12:15:16;17.4;85.2;88.07;0.09;0.006;264
C0D000;2025-10-01 12:15:26;9.6;85.1;78.63;0.07;0.014;265
C0D000;2025-10-01 12:15:36;8.4;84.6;81.0;0.11;0.007;265
C0D000;2025-10-01 12:15:46;8.5;85.2;88.42;0.05;0.018;265
C0D000;2025-10-01 12:15:56;3.1;83.8;83.15;0.03;0.008;265
C0D000;2025-10-01 12:16:06;3.6;83.5;83.99;0.05;0.006;263
C0D000;2025-10-01 12:16:16;3.8;83.5;87.65;0.11;0.009;263
C0D000;2025-10-01 12:16:26;3.0;83.5;89.44;0.15;0.015;263
C0D000;2025-10-01 12:16:36;3.1;83.5;86.76;0.02;0.01;262
C0D000;2025-10-01 12:16:46;3.5;83.5;77.15;0.03;0.007;262
C0D000;2025-10-01 12:16:56;2.9;83.6;86.46;0.08;0.012;262
C0D000;2025-10-01 12:17:06;3.9;83.4;86.95;0.03;0.009;262
C0D000;2025-10-01 12:17:16;4.0;82.0;90.78;0.19;0.013;262
C0D000;2025-10-01 12:17:26;3.5;81.9;84.71;0.03;0.008;261
C0D000;2025-10-01 12:17:36;3.3;81.9;90.37;0.03;0.011;261
C0D000;2025-10-01 12:17:46;2.9;81.9;81.59;0.24;0.01;261
C0D000;2025-10-01 12:17:56;2.6;81.9;75.0;0.09;0.013;261
C0D000;2025-10-01 12:18:06;3.6;81.8;83.24;0.03;0.015;261
C0D000;2025-10-01 12:18:16;3.8;81.9;86.28;0.09;0.01;261
C0D000;2025-10-01 12:18:26;3.1;81.9;89.68;0.02;0.012;261
C0D000;2025-10-01 12:18:36;2.9;81.9;82.91;0.07;0.043;261
C0D000;2025-10-01 12:18:46;3.2;82.0;93.5;0.02;0.021;261
C0D000;2025-10-01 12:18:56;2.9;81.9;86.93;0.06;0.025;261
C0D000;2025-10-01 12:19:06;3.4;82.0;86.45;0.03;0.02;261
C0D000;2025-10-01 12:19:16;3.8;81.9;84.39;0.08;0.011;261
C0D000;2025-10-01 12:19:26;2.6;81.9;88.19;0.04;0.012;261
C0D000;2025-10-01 12:19:36;3.1;81.9;81.35;0.03;0.012;261
C0D000;2025-10-01 12:19:46;5.1;82.2;83.8;0.23;0.012;263
C0D000;2025-10-01 12:19:56;3.5;82.5;94.08;0.24;0.011;263
C0D000;2025-10-01 12:20:06;3.5;82.4;86.09;0.03;0.009;262
C0D000;2025-10-01 12:20:16;5.1;80.7;91.39;0.17;0.011;262
C0D000;2025-10-01 12:20:26;2.9;80.6;84.4;0.02;0.01;261
C0D000;2025-10-01 12:20:36;3.7;80.8;93.14;0.19;0.013;262
C0D000;2025-10-01 12:20:47;3.4;80.6;93.28;0.03;0.009;260
C0D000;2025-10-01 12:20:57;3.4;80.7;82.02;0.07;0.016;260
C0D000;2025-10-01 12:21:07;4.1;80.7;93.52;0.05;0.008;260
C0D000;2025-10-01 12:21:17;4.2;80.7;86.71;0.07;0.015;260
