id;timestamp;cpu;ram;disco;usoRede;latencia;qtd_processos
C0D003;2025-10-01 12:14:15;27.1;73.3;86.4;0.0;0.036;314
C0D003;2025-10-01 12:14:25;17.2;72.9;83.96;0.07;0.005;314
C0D003;2025-10-01 12:14:35;14.7;72.5;82.01;0.05;0.013;313
C0D003;2025-10-01 12:14:45;23.7;75.4;81.15;0.23;0.005;313
C0D003;2025-10-01 12:14:55;25.8;74.3;84.46;0.21;0.003;313
C0D003;2025-10-01 12:15:05;15.3;74.3;78.59;0.05;0.004;313
C0D003;2025-10-01 12:15:15;15.2;74.2;79.65;0.05;0.008;312
C0D003;2025-10-01 12:15:25;24.5;73.9;90.75;0.26;0.004;312
C0D003;2025-10-01 12:15:35;27.8;73.1;86.5;0.05;0.007;312
C0D003;2025-10-01 12:15:45;27.4;73.7;86.63;0.1;0.06;312
C0D003;2025-10-01 12:15:55;24.6;73.9;82.75;0.47;0.005;310
C0D003;2025-10-01 12:16:05;25.4;73.3;89.07;0.29;0.005;311
C0D003;2025-10-01 12:16:15;38.2;74.1;87.51;0.22;0.009;310
C0D003;2025-10-01 12:16:26;36.5;75.4;83.58;0.4;0.005;310
C0D003;2025-10-01 12:16:36;23.8;74.3;87.23;0.37;0.017;310
C0D003;2025-10-01 12:16:46;19.3;74.3;86.66;0.16;0.011;311
C0D003;2025-10-01 12:16:56;18.8;73.3;85.14;0.08;0.013;311
C0D003;2025-10-01 12:17:06;19.4;73.9;84.89;0.21;0.007;311
C0D003;2025-10-01 12:17:16;17.5;73.3;81.79;0.07;0.006;311
C0D003;2025-10-01 12:17:26;20.4;73.2;88.94;0.12;0.007;311
C0D003;2025-10-01 12:17:36;18.4;71.7;77.35;0.08;0.021;311
C0D003;2025-10-01 12:17:46;27.7;74.8;79.53;0.69;0.006;317
C0D003;2025-10-01 12:17:56;23.9;74.8;89.73;0.24;0.01;315
C0D003;2025-10-01 12:18:06;26.1;72.9;77.96;0.15;0.005;316
C0D003;2025-10-01 12:18:16;22.3;74.1;82.42;0.26;0.014;316
C0D003;2025-10-01 12:18:26;17.2;72.2;83.5;0.06;0.013;316
C0D003;2025-10-01 12:18:36;14.7;71.5;80.43;0.07;0.045;316
C0D003;2025-10-01 12:18:46;21.9;72.4;83.24;0.11;0.017;316
C0D003;2025-10-01 12:18:56;24.2;72.7;91.79;0.21;0.027;315
C0D003;2025-10-01 12:19:06;22.4;72.6;80.65;0.58;0.018;315
C0D003;2025-10-01 12:19:16;16.5;72.2;80.46;0.45;0.007;317
C0D003;2025-10-01 12:19:26;14.6;71.6;86.02;0.07;0.004;317
C0D003;2025-10-01 12:19:36;14.5;71.3;81.18;0.05;0.004;317
C0D003;2025-10-01 12:19:46;15.1;71.3;90.47;0.22;0.006;317
C0D003;2025-10-01 12:19:56;15.4;71.4;82.91;0.21;0.019;317
C0D003;2025-10-01 12:20:07;15.2;71.2;77.01;0.05;0.014;316
C0D003;2025-10-01 12:20:17;16.6;70.7;78.01;0.18;0.007;317
C0D003;2025-10-01 12:20:27;34.6;68.5;83.67;0.22;0.007;320
C0D003;2025-10-01 12:20:37;39.5;69.6;78.41;0.44;0.008;318
C0D003;2025-10-01 12:20:47;20.3;68.6;83.23;0.06;0.007;318
C0D003;2025-10-01 12:20:57;22.0;66.8;77.6;0.08;0.009;318
C0D003;2025-10-01 12:21:07;23.0;66.9;76.42;0.06;0.012;317
C0D003;2025-10-01 12:21:17;24.4;67.3;86.0;0.08;0.003;318
C0D003;2025-10-01 12:21:27;19.4;67.4;79.42;0.06;0.005;318
C0D003;2025-10-01 12:21:37;19.0;69.9;85.96;0.09;0.008;318
C0D003;2025-10-01 12:21:47;11.6;68.3;75.34;0.08;0.006;318
C0D003;2025-10-01 12:21:57;11.7;67.6;85.26;0.31;0.013;318
C0D003;2025-10-01 12:22:07;13.7;67.6;87.41;0.05;0.006;318
C0D003;2025-10-01 12:22:17;12.9;68.2;75.03;0.19;0.007;318
C0D003;2025-10-01 12:22:27;6.1;67.8;82.53;0.06;0.008;318
C0D003;2025-10-01 12:22:37;14.5;67.6;85.03;0.07;0.017;318
C0D003;2025-10-01 12:22:47;13.7;67.1;78.34;0.08;0.005;316
C0D003;2025-10-01 12:22:57;9.9;66.7;94.39;0.08;0.009;316
C0D003;2025-10-01 12:23:07;9.2;67.2;88.35;0.05;0.009;316
C0D003;2025-10-01 12:23:18;10.8;67.7;77.25;0.06;0.003;315
C0D003;2025-10-01 12:23:28;13.5;67.9;88.34;0.07;0.006;316
C0D003;2025-10-01 12:23:38;10.4;67.8;78.01;0.05;0.018;316
C0D003;2025-10-01 12:23:48;6.2;67.3;83.48;0.08;0.011;316
C0D003;2025-10-01 12:23:58;11.6;67.3;89.99;0.32;0.005;316
C0D003;2025-10-01 12:24:08;10.2;67.0;85.6;0.06;0.006;316
