id;timestamp;cpu;ram;disco;usoRede;latencia;qtd_processos
C0D005;2025-10-01 12:00:29;10.6;56.5;82.28;0.0;0.009;307
C0D005;2025-10-01 12:00:39;8.1;56.3;89.2;0.04;0.012;308
C0D005;2025-10-01 12:00:49;9.3;58.8;86.73;0.53;0.035;309
C0D005;2025-10-01 12:00:59;13.6;60.4;81.55;3.73;0.007;310
C0D005;2025-10-01 12:01:09;12.3;60.4;88.59;0.92;0.01;310
C0D005;2025-10-01 12:01:19;13.3;59.8;77.14;1.26;0.01;310
C0D005;2025-10-01 12:01:29;10.8;61.1;76.52;0.26;0.016;310
C0D005;2025-10-01 12:01:39;10.5;60.5;84.82;0.25;0.017;310
C0D005;2025-10-01 12:01:49;15.3;63.2;89.76;1.8;0.012;310
C0D005;2025-10-01 12:01:59;9.5;56.4;83.76;0.3;0.018;309
C0D005;2025-10-01 12:02:09;5.3;56.6;93.18;0.01;0.006;309
C0D005;2025-10-01 12:02:19;5.5;56.6;89.61;0.02;0.011;309
C0D005;2025-10-01 12:02:29;5.1;56.4;77.66;0.01;0.008;309
C0D005;2025-10-01 12:02:39;5.5;56.4;87.49;0.01;0.008;309
C0D005;2025-10-01 12:02:49;6.0;56.3;92.76;0.08;0.01;309
C0D005;2025-10-01 12:02:59;5.9;56.3;77.14;0.01;0.01;309
C0D005;2025-10-01 12:03:10;6.8;57.3;78.88;0.05;0.007;309
C0D005;2025-10-01 12:03:20;5.5;56.9;81.14;0.01;0.016;309
C0D005;2025-10-01 12:03:30;5.2;56.9;90.32;0.01;0.042;309
C0D005;2025-10-01 12:03:40;6.1;57.0;88.73;0.02;0.022;309
C0D005;2025-10-01 12:03:50;6.7;57.0;91.76;0.04;0.006;310
C0D005;2025-10-01 12:04:00;7.5;57.5;93.6;0.01;0.017;311
C0D005;2025-10-01 12:04:10;9.2;60.8;79.33;0.24;0.005;316
C0D005;2025-10-01 12:04:20;29.3;69.9;87.65;3.94;0.007;316
C0D005;2025-10-01 12:04:30;44.0;71.0;87.41;4.06;0.025;316
C0D005;2025-10-01 12:04:40;36.2;68.8;75.39;4.9;0.003;315
C0D005;2025-10-01 12:04:50;23.8;68.6;82.14;0.15;0.01;315
C0D005;2025-10-01 12:05:00;18.6;68.0;82.96;0.11;0.008;313
C0D005;2025-10-01 12:05:10;21.8;69.3;89.69;0.12;0.011;312
C0D005;2025-10-01 12:05:20;22.5;68.4;88.63;0.03;0.01;313
C0D005;2025-10-01 12:05:30;17.6;67.5;86.81;0.02;0.005;313
C0D005;2025-10-01 12:05:40;17.5;66.9;82.42;0.01;0.008;313
C0D005;2025-10-01 12:05:50;17.1;67.3;86.74;0.01;0.005;308
C0D005;2025-10-01 12:06:00;20.1;67.8;85.55;0.01;0.005;308
C0D005;2025-10-01 12:06:10;16.8;67.4;94.73;0.09;0.006;310
C0D005;2025-10-01 12:06:21;16.7;67.2;91.83;0.01;0.005;310
C0D005;2025-10-01 12:06:31;15.3;65.6;78.84;0.05;0.004;310
C0D005;2025-10-01 12:06:41;17.3;65.9;87.8;0.01;0.003;310
C0D005;2025-10-01 12:06:51;18.2;65.6;87.56;0.99;0.006;310
C0D005;2025-10-01 12:07:01;25.3;65.7;79.99;0.1;0.091;311
C0D005;2025-10-01 12:07:11;18.8;66.2;87.83;0.02;0.017;311
C0D005;2025-10-01 12:07:21;17.2;66.0;76.72;0.01;0.005;311
C0D005;2025-10-01 12:07:31;22.3;65.9;82.26;0.01;0.022;311
C0D005;2025-10-01 12:07:41;21.7;66.7;88.86;0.88;0.005;311
C0D005;2025-10-01 12:07:51;47.5;71.7;84.17;5.14;0.004;312
C0D005;2025-10-01 12:08:01;19.6;68.9;81.98;0.33;0.005;313
C0D005;2025-10-01 12:08:11;19.5;68.6;75.0;0.08;0.029;314
C0D005;2025-10-01 12:08:21;20.8;68.5;77.0;0.21;0.01;313
C0D005;2025-10-01 12:08:31;23.5;70.0;84.8;0.78;0.005;313
C0D005;2025-10-01 12:08:41;15.8;69.8;84.35;0.17;0.006;313
C0D005;2025-10-01 12:08:51;15.6;70.0;87.38;0.15;0.006;313
C0D005;2025-10-01 12:09:01;16.6;68.9;75.0;0.1;0.005;313
C0D005;2025-10-01 12:09:11;15.5;68.9;80.39;0.04;0.006;313
C0D005;2025-10-01 12:09:21;20.2;69.3;83.61;0.25;0.005;314
C0D005;2025-10-01 12:09:31;15.9;69.5;80.48;0.05;0.005;314
C0D005;2025-10-01 12:09:41;18.2;69.7;90.17;0.07;0.004;313
C0D005;2025-10-01 12:09:51;20.2;69.7;84.22;0.14;0.019;313
C0D005;2025-10-01 12:10:02;16.8;68.7;82.12;0.18;0.006;314
C0D005;2025-10-01 12:10:12;23.7;72.0;86.44;1.73;0.006;312
C0D005;2025-10-01 12:10:22;15.2;69.9;78.46;0.15;0.005;312
